"";"X";"Name";"Platform";"Year_of_Release";"Genre";"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales";"Global_Sales";"Critic_Score";"Critic_Count";"User_Score";"User_Count";"Developer";"Rating";"Top_20_Devs";"Dev_Count"
"2023";2023;"Far Cry 4";"PC";"2014";"Shooter";"Ubisoft";0,15;0,44;0;0,04;0,63;80;17;6,8;1064;"Ubisoft Montreal";"M";0;88
"2024";2024;"NASCAR 06: Total Team Control";"PS2";"2005";"Racing";"Electronic Arts";0,53;0,02;0;0,09;0,63;78;18;7,7;18;"EA Sports";"E";0;146
"2025";2025;"Iron Man";"PSP";"2008";"Action";"Sega";0,46;0,09;0;0,09;0,63;44;7;6,4;16;"Artificial Mind and Movement";"T";0;34
"2026";2026;"White Knight Chronicles II";"PS3";"2010";"Role-Playing";"Sony Computer Entertainment";0,23;0,09;0,27;0,04;0,63;60;45;7;64;"Level 5";"T";1;15
"2027";2027;"Juiced 2: Hot Import Nights";"X360";"2007";"Racing";"THQ";0,22;0,34;0;0,07;0,63;68;24;7,5;21;"Juice Games";"T";0;8
"2028";2028;"Wolfenstein";"PS3";"2009";"Shooter";"Activision";0,25;0,27;0;0,11;0,63;71;58;7,5;77;"id Software, Raven Software";"M";0;3
"2029";2029;"The Walking Dead: Survival Instinct";"X360";"2013";"Shooter";"Activision";0,46;0,11;0;0,05;0,63;32;30;4;410;"Terminal Reality";"M";0;21
"2030";2030;"The Sims 3: Generations";"PC";"2011";"Simulation";"Electronic Arts";0,4;0,23;0;0;0,63;70;22;3,6;81;"The Sims Studio";"T";0;8
"2031";2031;"Ape Escape 2";"PS2";"2002";"Platform";"Sony Computer Entertainment";0,12;0,09;0,38;0,03;0,63;82;31;8,4;32;"SCE Japan Studio";"E";0;17
"2032";2032;"Sega Rally Revo";"PS3";"2007";"Racing";"Sega";0,07;0,42;0;0,14;0,63;75;40;7;20;"SEGA Racing Studio";"E";0;3
"2033";2033;"Shin Megami Tensei: Persona 3 FES";"PS2";"2007";"Role-Playing";"Tecmo Koei";0,22;0,2;0,16;0,05;0,63;89;25;7,9;296;"Atlus Co.";"M";0;8
"2034";2034;"FIFA Soccer 2002";"PS2";"2001";"Sports";"Electronic Arts";0,31;0,24;0;0,08;0,63;82;17;6,3;28;"EA Sports";"E";0;146
"2035";2035;"Angry Birds Trilogy";"3DS";"2012";"Action";"Activision";0,38;0,2;0;0,05;0,63;62;7;4,7;20;"Exient Entertainment";"E";0;23
"2036";2036;"Condemned 2: Bloodshot";"X360";"2008";"Action";"Sega";0,38;0,19;0;0,06;0,63;80;76;8,5;178;"Monolith Productions";"M";0;10
"2037";2037;"Okami";"PS2";"2006";"Action";"Capcom";0,11;0,03;0,15;0,34;0,63;93;69;9,3;327;"Clover Studio";"T";0;8
"2038";2038;"Shin Megami Tensei: Persona 3 Portable";"PSP";"2009";"Role-Playing";"Ghostlight";0,18;0,06;0,34;0,05;0,63;89;40;7,9;317;"Atlus";"M";0;17
"2039";2039;"NHL 2001";"PS";"2000";"Sports";"Electronic Arts";0,35;0,24;0;0,04;0,63;88;10;8;7;"Page 44 Studios";"E";0;10
"2040";2040;"Crysis 3";"PC";"2013";"Shooter";"Electronic Arts";0,17;0,39;0;0,07;0,63;76;47;6,6;1223;"Crytek";"M";0;10
"2041";2041;"Buzz Lightyear of Star Command";"PS";"2000";"Platform";"Activision";0,35;0,24;0;0,04;0,63;54;10;5,4;4;"Traveller's Tales";"E";0;68
"2042";2042;"NHL 16";"PS4";"2015";"Sports";"Electronic Arts";0,36;0,16;0;0,11;0,63;78;28;5,5;157;"EA Sports, EA Canada";"E10+";0;2
"2043";2043;"Tony Hawk's Project 8";"PS3";"2006";"Sports";"Activision";0,3;0,22;0,01;0,1;0,63;76;43;7,1;14;"Neversoft Entertainment";"T";0;43
"2044";2044;"Ghostbusters: The Video Game";"X360";"2009";"Action";"Atari";0,43;0,14;0;0,06;0,63;79;53;8,5;125;"Terminal Reality";"T";0;21
"2045";2045;"XCOM: Enemy Unknown";"X360";"2012";"Strategy";"Take-Two Interactive";0,36;0,21;0;0,05;0,62;90;35;8,3;366;"Firaxis Games";"M";0;13
"2046";2046;"Metal Gear Solid 2: Substance";"XB";"N/A";"Action";"Konami Digital Entertainment";0,38;0,22;0;0,03;0,62;87;28;8,5;39;"KCEJ";"M";0;11
"2047";2047;"Tony Hawk's American Wasteland";"XB";"2005";"Sports";"Activision";0,4;0,2;0;0,03;0,62;77;40;7,7;15;"Neversoft Entertainment";"T";0;43
"2048";2048;"Wild ARMs 3";"PS2";"2002";"Role-Playing";"Ubisoft";0,16;0,13;0,29;0,04;0,62;78;30;8,4;38;"Media Vision, Contrail";"T";0;1
"2049";2049;"Madden NFL 07";"GC";"2006";"Sports";"Electronic Arts";0,48;0,13;0;0,02;0,62;82;14;7,8;5;"EA Tiburon";"E";0;88
"2050";2050;"Tiger Woods PGA Tour 2004";"XB";"2003";"Sports";"Electronic Arts";0,47;0,13;0;0,02;0,62;89;18;8,2;14;"EA Sports";"E";0;146
"2051";2051;"Test Drive Unlimited 2";"PS3";"N/A";"Racing";"Atari";0,16;0,34;0,01;0,12;0,62;70;43;6,2;44;"Eden";"T";0;3
"2052";2052;"Tak 2: The Staff of Dreams";"PS2";"2004";"Platform";"THQ";0,3;0,24;0;0,08;0,62;71;31;8,3;10;"Avalanche Software";"E";0;16
"2053";2053;"Just Dance 3";"PS3";"2011";"Misc";"Ubisoft";0,33;0,2;0;0,09;0,62;75;5;6;7;"Ubisoft";"E10+";0;106
"2054";2054;"LEGO Pirates of the Caribbean: The Video Game";"3DS";"2011";"Action";"Disney Interactive Studios";0,29;0,27;0;0,06;0,62;71;16;7,1;20;"Traveller's Tales";"E10+";0;68
"2055";2055;"Donkey Kong Barrel Blast";"Wii";"2007";"Racing";"Nintendo";0,19;0,26;0,11;0,06;0,62;46;34;6,8;26;"Paon Corporation";"E";0;5
"2056";2056;"Viewtiful Joe";"GC";"2003";"Action";"Capcom";0,38;0,1;0,12;0,02;0,62;93;52;8,3;115;"Clover Studio";"T";0;8
"2057";2057;"The Urbz: Sims in the City";"GBA";"2004";"Simulation";"Electronic Arts";0,37;0,22;0;0,03;0,62;72;6;9,2;25;"Griptonite Games";"E";0;23
"2058";2058;"Guitar Hero: Metallica";"PS3";"2009";"Misc";"Activision";0,28;0,24;0;0,1;0,62;86;44;8,1;48;"Neversoft Entertainment";"T";0;43
"2059";2059;"Strike Force Bowling";"PS2";"2004";"Sports";"Play It";0,3;0,24;0;0,08;0,62;48;14;6,8;4;"Lab Rats Games";"E";0;1
"2060";2060;"Red Steel 2";"Wii";"2010";"Shooter";"Ubisoft";0,35;0,2;0,01;0,06;0,62;80;73;8,6;178;"Ubisoft Paris";"T";0;15
"2061";2061;"XGRA: Extreme G-Racing Association";"PS2";"2004";"Racing";"Eidos Interactive";0,3;0,24;0;0,08;0,62;68;23;8,6;8;"Acclaim Studios Cheltenham";"T";0;10
"2062";2062;"Mafia III";"XOne";"2016";"Action";"Take-Two Interactive";0,28;0,29;0;0,05;0,62;67;20;4,6;274;"Hangar 13";"M";0;3
"2063";2063;"Prince of Persia: The Forgotten Sands";"X360";"2010";"Action";"Ubisoft";0,3;0,26;0;0,06;0,62;74;69;7,8;112;"Ubisoft Montreal";"T";0;88
"2064";2064;"Warriors Orochi 3";"PS3";"2011";"Action";"Ubisoft Annecy";0;0,04;0,57;0,01;0,62;70;17;7,9;35;"Omega Force";"T";0;69
"2065";2065;"DJ Hero 2";"Wii";"2010";"Misc";"Activision";0,48;0,09;0;0,04;0,62;88;20;7,5;17;"FreeStyleGames";"T";0;10
"2066";2066;"Tiger Woods PGA Tour 12: The Masters";"X360";"2011";"Sports";"Electronic Arts";0,4;0,16;0;0,05;0,62;80;50;6;25;"Electronic Arts";"E";0;68
"2067";2067;"Wall-E";"X360";"2008";"Platform";"THQ";0,29;0,26;0;0,07;0,62;50;32;6,3;6;"Heavy Iron Studios";"E";0;20
"2068";2068;"Harry Potter and the Half-Blood Prince";"DS";"2009";"Action";"Electronic Arts";0,2;0,34;0;0,07;0,61;48;9;4,3;7;"EA Bright Light";"E";0;20
"2069";2069;"NieR";"PS3";"2010";"Role-Playing";"Square Enix";0,17;0,18;0,2;0,07;0,61;68;58;8,4;263;"Cavia Inc.";"M";0;12
"2070";2070;"2014 FIFA World Cup Brazil";"PS3";"2014";"Sports";"Electronic Arts";0,15;0,36;0,01;0,09;0,61;73;33;4,3;87;"EA Canada";"E";0;152
"2071";2071;"NBA 2K9";"PS3";"2008";"Sports";"Take-Two Interactive";0,56;0;0;0,05;0,61;82;30;7,1;37;"Visual Concepts";"E";0;69
"2072";2072;"NFL Fever 2003";"XB";"2002";"Sports";"Microsoft Game Studios";0,46;0,13;0;0,02;0,61;72;25;8,6;12;"Microsoft Game Studios";"E";0;11
"2073";2073;"Samurai Warriors 2";"PS2";"2006";"Action";"Tecmo Koei";0,02;0,02;0,57;0,01;0,61;58;26;8,8;13;"Omega Force";"T";0;69
"2074";2074;"Wet";"PS3";"2009";"Shooter";"Bethesda Softworks";0,22;0,27;0,01;0,11;0,61;70;61;6,5;55;"Artificial Mind and Movement";"M";0;34
"2075";2075;"Cooking Mama 4: Kitchen Magic!";"3DS";"2011";"Simulation";"505 Games";0,5;0,07;0;0,05;0,61;56;6;6;7;"Cooking Mama Limited";"E";0;2
"2076";2076;"Scribblenauts: Unlimited";"3DS";"2012";"Action";"Warner Bros. Interactive Entertainment";0,56;0,01;0;0,05;0,61;73;13;7,4;21;"5TH Cell";"E10+";0;9
"2077";2077;"Fire Emblem: Shadow Dragon";"DS";"2008";"Role-Playing";"Nintendo";0,29;0,02;0,27;0,03;0,61;81;42;7;106;"Intelligent Systems";"E10+";0;19
"2078";2078;"Plants vs. Zombies: Garden Warfare";"PS4";"2014";"Shooter";"Electronic Arts";0,21;0,29;0,01;0,1;0,61;75;23;7,6;259;"PopCap";"E10+";0;15
"2079";2079;"Metroid Prime: Trilogy";"Wii";"2009";"Shooter";"Nintendo";0,42;0,05;0;0,14;0,61;91;48;9,3;316;"Retro Studios";"T";1;6
"2080";2080;"Robotech: Battlecry";"PS2";"2002";"Shooter";"TDK Mediactive";0,3;0,23;0;0,08;0,61;72;20;8,2;8;"Vicious Cycle";"T";0;12
"2081";2081;"Disney Universe";"PS3";"2011";"Action";"Disney Interactive Studios";0,3;0,22;0;0,09;0,61;70;29;6,9;13;"Eurocom Entertainment Software";"E10+";0;40
"2082";2082;"Advance Wars: Days of Ruin";"DS";"N/A";"Strategy";"Nintendo";0,43;0,12;0;0,05;0,61;86;55;8,6;96;"Intelligent Systems";"E10+";0;19
"2083";2083;"Jak and Daxter: The Lost Frontier";"PSP";"2009";"Platform";"Sony Computer Entertainment";0,18;0,27;0;0,15;0,61;71;47;6,7;28;"High Impact Games";"E10+";0;5
"2084";2084;"Texas Hold 'Em Poker";"GBA";"2004";"Misc";"Majesco Entertainment";0,44;0,16;0;0,01;0,61;49;7;6,8;6;"Skyworks Technologies";"E";0;1
"2085";2085;"Time Crisis 3";"PS2";"2003";"Shooter";"Namco Bandai Games";0,3;0,23;0;0,08;0,61;81;29;8,1;12;"Namco";"T";0;56
"2086";2086;"Vanquish";"PS3";"2010";"Shooter";"Sega";0,21;0,21;0,11;0,08;0,61;84;61;8,1;304;"PlatinumGames";"M";0;17
"2087";2087;"Tearaway";"PSV";"2013";"Adventure";"Sony Computer Entertainment Europe";0,14;0,34;0;0,14;0,61;87;82;8,9;391;"Media Molecule";"E";1;3
"2088";2088;"Half-Life 2";"XB";"2005";"Shooter";"Electronic Arts";0,37;0,21;0;0,03;0,61;90;35;8,6;115;"Valve Software";"M";0;13
"2089";2089;"Tony Hawk: RIDE";"X360";"2009";"Sports";"Activision";0,46;0,1;0;0,05;0,61;46;43;3;67;"Robomodo";"E10+";0;6
"2090";2090;"Borderlands: The Pre-Sequel";"PS3";"2014";"Shooter";"Take-Two Interactive";0,26;0,21;0,05;0,1;0,61;77;24;6,3;130;"2K Australia";"M";0;3
"2091";2091;"Major League Baseball 2K8";"X360";"2008";"Sports";"Bethesda Softworks";0,56;0;0;0,05;0,61;70;28;5,9;34;"Kush Games";"E";0;18
"2092";2092;"Sacred 2: Fallen Angel";"PS3";"2009";"Role-Playing";"Deep Silver";0,22;0,22;0,08;0,09;0,61;70;45;6,8;51;"Ascaron Entertainment GmbH, Ascaron Entertainment";"M";0;3
"2093";2093;"pro evolution soccer 2011";"X360";"2010";"Sports";"Konami Digital Entertainment";0,09;0,44;0;0,07;0,61;79;43;5,9;33;"Konami";"E";0;103
"2094";2094;"Major League Baseball 2K9";"X360";"2009";"Sports";"Spike";0,56;0;0;0,05;0,61;64;29;5,3;26;"2K Sports";"E";0;13
"2095";2095;"Final Fantasy IV Advance";"GBA";"2005";"Role-Playing";"Nintendo";0,27;0,1;0,22;0,01;0,61;85;30;7,4;70;"TOSE";"E10+";0;34
"2096";2096;"Dragon Ball Z: Ultimate Tenkaichi";"PS3";"2011";"Fighting";"Namco Bandai Games";0,27;0,18;0,09;0,07;0,61;58;26;5,4;77;"Spike";"T";0;17
"2097";2097;"Harry Potter and the Goblet of Fire";"GBA";"2005";"Action";"Electronic Arts";0,44;0,16;0;0,01;0,61;71;9;6;8;"Magic Pockets";"E";0;8
"2098";2098;"Dragon Ball Z: Buu's Fury";"GBA";"2004";"Action";"Atari";0,44;0,16;0;0,01;0,61;62;19;8,5;39;"Webfoot Technologies";"E";0;6
"2099";2099;"Madden NFL 2002";"GC";"2001";"Sports";"Electronic Arts";0,47;0,12;0;0,02;0,61;89;12;7,5;NA;"EA Sports";"E";0;146
"2100";2100;"Spider-Man: Mysterio's Menace";"GBA";"2001";"Action";"Activision";0,43;0,16;0;0,01;0,61;84;8;7,8;11;"Vicarious Visions";"E";0;60
"2101";2101;"MySims Racing";"DS";"2009";"Racing";"Electronic Arts";0,25;0,29;0;0,07;0,61;67;11;7,5;4;"EA Games";"E";0;24
"2102";2102;"Naruto: Ultimate Ninja";"PS2";"2003";"Fighting";"Atari";0,5;0,02;0;0,08;0,61;75;34;7,7;35;"CyberConnect2";"T";0;22
"2103";2103;"Pac-Man Party";"Wii";"2010";"Misc";"Namco Bandai Games";0,47;0,08;0,01;0,04;0,61;59;14;5,9;8;"TOSE";"E10+";0;34
"2104";2104;"Tony Hawk's Underground";"GBA";"2003";"Sports";"Activision";0,43;0,16;0;0,01;0,6;86;9;7,7;9;"Vicarious Visions";"E";0;60
"2105";2105;"Shadow The Hedgehog";"PS2";"2005";"Platform";"Sega";0,5;0,02;0;0,08;0,6;45;28;6;137;"Sonic Team";"E10+";0;38
"2106";2106;"Wave Race: Blue Storm";"GC";"2001";"Racing";"Nintendo";0,4;0,1;0,09;0,02;0,6;80;21;8,3;29;"Nintendo";"E";1;67
"2107";2107;"Aliens: Colonial Marines";"PS3";"2013";"Shooter";"Sega";0,2;0,29;0;0,11;0,6;43;25;3,6;295;"Gearbox Software";"M";0;27
"2108";2108;"Backyard Wrestling: Don't Try This at Home";"PS2";"2003";"Fighting";"Eidos Interactive";0,3;0,23;0;0,08;0,6;51;24;7,8;29;"Paradox Development";"M";0;6
"2109";2109;"Yakuza: Dead Souls";"PS3";"2011";"Shooter";"Sega";0,09;0,06;0,42;0,03;0,6;64;55;7,5;69;"Ryu ga Gotoku Studios";"M";0;4
"2110";2110;"Fight Night Round 2";"XB";"2005";"Fighting";"Electronic Arts";0,42;0,16;0;0,02;0,6;88;48;8,8;27;"EA Sports";"T";0;146
"2111";2111;"Dead Island: Riptide";"PS3";"2013";"Action";"Deep Silver";0,26;0,19;0,07;0,09;0,6;62;25;6;140;"Techland";"M";0;20
"2112";2112;"Kinect Sports Rivals";"XOne";"2014";"Sports";"Microsoft Game Studios";0,3;0,23;0,02;0,05;0,6;60;53;5,1;144;"Microsoft Game Studios";"E10+";0;11
"2113";2113;"NBA 2K8";"PS2";"2007";"Sports";"Take-Two Interactive";0,5;0,02;0;0,08;0,6;72;7;6;9;"Visual Concepts";"E";0;69
"2114";2114;"Dynasty Warriors 8";"PS3";"2013";"Action";"Tecmo Koei";0,12;0,1;0,34;0,05;0,6;68;26;8,4;75;"Omega Force";"T";0;69
"2115";2115;"Disney Infinity";"WiiU";"2013";"Action";"Disney Interactive Studios";0,33;0,22;0;0,05;0,6;71;10;7,6;58;"Avalanche Software";"E10+";0;16
"2116";2116;"Secret Agent Clank";"PS2";"2009";"Platform";"Sony Computer Entertainment";0,13;0,18;0;0,29;0,6;61;9;6,5;14;"Sanzaru Games";"E10+";0;7
"2117";2117;"Call of Juarez: Bound in Blood";"X360";"2009";"Shooter";"Ubisoft";0,3;0,24;0;0,06;0,6;77;77;7,6;94;"Techland";"M";0;20
"2118";2118;"Fighters Uncaged";"X360";"2010";"Fighting";"Ubisoft";0,31;0,23;0;0,06;0,6;32;38;4,8;23;"Ubisoft";"T";0;106
"2119";2119;"Rayman Arena";"PS2";"2001";"Racing";"Ubisoft";0,29;0,23;0;0,08;0,6;63;10;7,9;8;"Ubisoft";"E";0;106
"2120";2120;"Jaws Unleashed";"PS2";"2006";"Action";"THQ";0,5;0,02;0;0,08;0,6;52;29;7,5;39;"Appaloosa Interactive";"M";0;3
"2121";2121;"Half-Life";"PS2";"2001";"Shooter";"Vivendi Games";0,29;0,23;0;0,08;0,6;87;24;8,5;94;"Gearbox Software";"M";0;27
"2122";2122;"Split/Second";"X360";"2010";"Racing";"Disney Interactive Studios";0,32;0,23;0;0,06;0,6;82;78;8,1;101;"Black Rock Studio";"E10+";0;5
"2123";2123;"The Golden Compass";"DS";"2007";"Action";"Sega";0,28;0,25;0;0,06;0,6;43;7;5,2;8;"Artificial Mind and Movement";"E10+";0;34
"2124";2124;"The Golden Compass";"Wii";"N/A";"Action";"Sega";0,26;0,28;0;0,07;0,6;35;12;6,8;6;"Shiny Entertainment";"E10+";0;10
"2125";2125;"Muramasa: The Demon Blade";"Wii";"2009";"Role-Playing";"Rising Star Games";0,32;0,12;0,11;0,04;0,6;81;58;8,7;101;"Vanillaware";"T";0;5
"2126";2126;"Okami";"Wii";"2008";"Action";"Capcom";0,43;0,09;0,04;0,05;0,6;90;44;8,9;236;"Ready at Dawn";"T";0;5
"2127";2127;"LEGO The Hobbit";"PS4";"2014";"Action";"Warner Bros. Interactive Entertainment";0,13;0,38;0;0,09;0,6;72;47;6,6;88;"TT Games";"E10+";0;43
"2128";2128;"WWE 2K17";"PS4";"2016";"Sports";"Take-Two Interactive";0,17;0,34;0;0,09;0,6;69;50;6,1;88;"Yuke's";"T";0;48
"2129";2129;"Just Dance 2014";"WiiU";"2013";"Misc";"Ubisoft";0,31;0,23;0;0,05;0,6;72;13;7,6;45;"Ubisoft";"E10+";0;106
"2130";2130;"NHL 15";"PS4";"2014";"Sports";"Electronic Arts";0,31;0,19;0;0,1;0,6;60;28;3,7;306;"EA Sports";"E10+";0;146
"2131";2131;"Total War: Shogun 2";"PC";"2011";"Strategy";"Sega";0,19;0,31;0;0,09;0,6;90;62;8,4;1180;"Creative Assembly";"T";0;20
"2132";2132;"SimCity DS";"DS";"2007";"Simulation";"Electronic Arts";0,33;0,02;0,21;0,03;0,6;69;27;6,4;18;"Aki Corp.";"E";0;7
"2133";2133;"Hot Wheels: Stunt Track Challenge";"PS2";"2004";"Racing";"THQ";0,29;0,23;0;0,08;0,59;62;8;8,1;8;"Climax Group";"E";0;26
"2134";2134;"Monopoly";"X360";"2008";"Misc";"Electronic Arts";0,34;0,2;0;0,06;0,59;56;9;5,8;17;"EA Bright Light";"E";0;20
"2135";2135;"Tony Hawk: RIDE";"PS3";"2009";"Sports";"Activision";0,38;0,14;0;0,07;0,59;44;29;2,1;31;"Robomodo";"E10+";0;6
"2136";2136;"Medal of Honor: Frontline";"GC";"2002";"Shooter";"Electronic Arts";0,46;0,12;0;0,02;0,59;80;16;7,9;16;"Dreamworks Games";"T";0;1
"2137";2137;"Dead Space";"PC";"2008";"Action";"Electronic Arts";0;0,53;0;0,06;0,59;86;28;8;1093;"EA Redwood Shores";"M";0;21
"2138";2138;"NHL 11";"PS3";"2010";"Sports";"Electronic Arts";0,4;0,12;0;0,07;0,59;88;38;7,2;54;"Electronic Arts";"E10+";0;68
"2139";2139;"Yakuza 5";"PS3";"2012";"Action";"Sega";0;0;0,59;0;0,59;83;34;8,7;180;"Ryu ga Gotoku Studios";"M";0;4
"2140";2140;"2002 FIFA World Cup";"PS2";"2002";"Sports";"Electronic Arts";0,21;0,17;0,16;0,06;0,59;73;19;5,6;18;"EA Sports";"E";0;146
"2141";2141;"MVP Baseball 2004";"XB";"2004";"Sports";"Electronic Arts";0,44;0,13;0;0,02;0,59;90;31;8,5;19;"EA Sports";"E";0;146
"2142";2142;"Crash Bandicoot: The Wrath of Cortex";"GC";"2002";"Platform";"Universal Interactive";0,46;0,12;0;0,02;0,59;62;11;7,2;22;"Traveller's Tales";"E";0;68
"2143";2143;"WWE 2K16";"XOne";"2015";"Sports";"Take-Two Interactive";0,32;0,22;0;0,05;0,59;72;18;5,7;75;"Yuke's";"T";0;48
"2144";2144;"Assassin's Creed: Brotherhood";"PC";"2011";"Action";"Ubisoft";0,15;0,34;0;0,1;0,59;88;24;8,2;1102;"Ubisoft Montreal";"M";0;88
"2145";2145;"Dead or Alive Xtreme Beach Volleyball";"XB";"2003";"Sports";"Microsoft Game Studios";0,36;0,08;0,14;0,02;0,59;73;42;7,8;47;"Team Ninja";"M";0;17
"2146";2146;"Silent Hill: Shattered Memories";"PS2";"2010";"Action";"Konami Digital Entertainment";0,13;0,22;0,01;0,23;0,59;77;8;7;82;"Climax Group";"M";0;26
"2147";2147;"Blur";"X360";"2010";"Racing";"Activision";0,25;0,27;0;0,06;0,59;82;78;8,3;169;"Bizarre Creations";"E10+";0;10
"2148";2148;"Madden NFL 06";"X360";"N/A";"Sports";"Electronic Arts";0,54;0;0,01;0,03;0,59;74;48;5,2;44;"EA Tiburon";"E";0;88
"2149";2149;"Asphalt: Urban GT";"DS";"2004";"Racing";"Ubisoft";0,31;0,22;0;0,06;0,59;60;38;7,6;13;"Gameloft";"E";0;6
"2150";2150;"Mega Man Anniversary Collection";"PS2";"2004";"Platform";"Capcom";0,29;0,22;0;0,08;0,59;81;26;8,6;20;"Atomic Planet Entertainment";"E";0;5
"2151";2151;"Metal Gear Solid V: Ground Zeroes";"PS3";"2014";"Action";"Konami Digital Entertainment";0,14;0,12;0,27;0,05;0,59;66;5;5,9;242;"Kojima Productions";"M";0;12
"2152";2152;"Harvest Moon: Friends of Mineral Town";"GBA";"2003";"Simulation";"Ubisoft";0,34;0,13;0,11;0,01;0,59;81;25;8,9;116;"TOSE";"E";0;34
"2153";2153;"Naruto: The Broken Bond";"X360";"2008";"Action";"Ubisoft";0,24;0,28;0;0,06;0,59;80;34;7,8;46;"Ubisoft Montreal";"T";0;88
"2154";2154;"WarioWare D.I.Y.";"DS";"2009";"Misc";"Nintendo";0,17;0,18;0,2;0,04;0,59;82;53;8,4;39;"Intelligent Systems";"E";0;19
"2155";2155;"Iron Man";"Wii";"2008";"Action";"Sega";0,3;0,22;0;0,06;0,59;44;14;7;8;"Artificial Mind and Movement";"T";0;34
"2156";2156;"The Fight: Lights Out";"PS3";"2010";"Fighting";"Sony Computer Entertainment";0,29;0,21;0;0,09;0,59;48;39;7,5;77;"Coldwood Interactive";"T";0;1
"2157";2157;"Mega Man X7";"PS2";"2003";"Action";"Capcom";0,22;0,17;0,14;0,06;0,58;58;30;5,3;38;"Valuewave Co.,Ltd.";"E";0;3
"2158";2158;"Deus Ex: Human Revolution";"PC";"2011";"Shooter";"Square Enix";0,25;0,25;0;0,08;0,58;90;52;8,5;3069;"Nixxes Software";"M";0;8
"2159";2159;"Final Fantasy Anniversary Edition";"PSP";"2007";"Role-Playing";"Square Enix";0,39;0,02;0,13;0,04;0,58;67;34;7,7;47;"TOSE";"E10+";0;34
"2160";2160;"SoulCalibur V";"X360";"2012";"Fighting";"Namco Bandai Games";0,39;0,13;0,02;0,04;0,58;77;56;6,4;124;"Project Soul";"T";0;2
"2161";2161;"Romancing SaGa";"PS2";"2005";"Role-Playing";"Square Enix";0,06;0,04;0,47;0,01;0,58;58;23;8;35;"Square Enix";"E10+";0;40
"2162";2162;"Lost: Via Domus";"X360";"2008";"Action";"Ubisoft";0,18;0,34;0;0,07;0,58;55;50;6,4;58;"Ubisoft Montreal";"T";0;88
"2163";2163;"Top Spin 3";"Wii";"2008";"Action";"Take-Two Interactive";0,15;0,37;0;0,07;0,58;68;18;5,7;29;"Pam Development";"E";0;6
"2164";2164;"Game Party in Motion";"X360";"2010";"Misc";"Warner Bros. Interactive Entertainment";0,36;0,17;0;0,05;0,58;33;6;3,7;9;"Farsight Studios";"E";0;5
"2165";2165;"The Lord of the Rings: The Third Age";"PS2";"2004";"Role-Playing";"Electronic Arts";0,49;0,02;0;0,08;0,58;73;35;8;60;"EA Games";"T";0;24
"2166";2166;"Call of Duty: Black Ops";"DS";"2010";"Shooter";"Activision";0,5;0,04;0;0,04;0,58;74;13;6,1;54;"n-Space";"T";0;13
"2167";2167;"NCAA Football 09";"PS3";"2008";"Sports";"Electronic Arts";0,54;0;0;0,04;0,58;81;20;7,2;25;"EA Tiburon";"E";0;88
"2168";2168;"MLB 11: The Show";"PS3";"2011";"Sports";"Sony Computer Entertainment";0,54;0;0;0,04;0,58;90;30;7,8;87;"SCEA San Diego Studios";"E";0;25
"2169";2169;"Kinect Rush: A Disney Pixar Adventure";"X360";"2012";"Adventure";"Microsoft Game Studios";0,38;0,15;0;0,05;0,58;68;31;5,1;15;"Asobo Studio";"E";0;12
"2170";2170;"Skylanders SWAP Force";"WiiU";"2013";"Platform";"Activision";0,38;0,15;0;0,05;0,58;89;7;6;96;"Vicarious Visions";"E10+";0;60
"2171";2171;"Terminator 3: Rise of the Machines";"PS2";"2003";"Action";"Atari";0,28;0,22;0;0,07;0,58;38;21;6,1;23;"Black Ops Entertainment";"T";0;7
"2172";2172;"Guitar Hero: Smash Hits";"Wii";"2009";"Misc";"Activision";0,31;0,21;0;0,06;0,58;74;17;7,7;6;"Beenox";"T";0;19
"2173";2173;"Tom Clancy's HAWX";"X360";"2009";"Action";"Ubisoft";0,31;0,19;0,02;0,06;0,58;73;64;7,2;51;"Ubisoft Romania";"T";0;11
"2174";2174;"Alice: Madness Returns";"PS3";"2011";"Adventure";"Electronic Arts";0,22;0,24;0,04;0,08;0,58;70;51;7,9;181;"Spicy Horse";"M";0;3
"2175";2175;"Shin Megami Tensei IV";"3DS";"2013";"Role-Playing";"Atlus";0,28;0;0,27;0,03;0,58;83;48;6,8;251;"Atlus";"M";0;17
"2176";2176;"NBA 2K7";"X360";"2006";"Sports";"Take-Two Interactive";0,53;0;0;0,04;0,58;84;46;7,8;67;"Kush Games, Visual Concepts";"E";0;3
"2177";2177;"NHL 12";"PS3";"2011";"Sports";"Electronic Arts";0,36;0,15;0;0,07;0,58;86;33;7,5;52;"Electronic Arts";"E10+";0;68
"2178";2178;"NASCAR: Dirt to Daytona";"PS2";"N/A";"Racing";"Unknown";0,28;0,22;0;0,07;0,58;84;10;8,7;19;"Monster Games Inc.";"E";0;7
"2179";2179;"Unreal Tournament";"PS2";"2000";"Shooter";"Infogrames";0,28;0,22;0;0,07;0,58;77;23;7,1;13;"Epic Games";"M";0;11
"2180";2180;"Digimon World 2";"PS";"2000";"Role-Playing";"Namco Bandai Games";0,23;0,16;0,16;0,04;0,58;42;5;7,6;47;"Bandai";"E";0;12
"2181";2181;"Prince of Persia: The Two Thrones";"XB";"2005";"Action";"Ubisoft";0,33;0,22;0;0,03;0,58;85;46;8,4;28;"Ubisoft";"M";0;106
